news,type
"Newly-crowned Australian Open champion Marat Safin has ruled out any chance of winning Wimbledon in the future.

After losing in round one last year, Safin said he had ""given up"" on Wimbledon and winning his second Grand Slam title has not changed his mind. ""I'll play, but with no expectations. I feel like I can't waste my time, my energy on that surface,"" he said. ""Some people, they cannot play on clay. Some people, they cannot play on a hard court. Me, I can't play on grass."" However, Safin is hopeful that winning the Australian Open will give him the belief he needs to win more Grand Slam titles. ""It's a relief for me. Two grand slams, it's already something. But with this one I worked really hard for it,"" he said. ""Basically, I would love to win a couple more. I think I have a chance if I continue this way.

""If (coach) Peter Lundgren will stick around with me and wants to work with me for a bit longer, I think I can make it."" The 25-year-old shocked Pete Sampras in the 2000 US Open final to win his first major title but then lost in two Australian Open finals. Safin admitted he had begun to doubt whether he would win another Grand Slam. ""I didn't expect that (to win the 2000 US Open) - it was against Sampras, I wasn't the favourite so I had no pressure whatsoever,"" he said. ""After the first final that I didn't win against Thomas Johansson (in 2002), I couldn't see myself winning the Grand Slams anymore. ""I was once in the semi-finals of the French Open, but I didn't believe I can win it. ""I just couldn't handle the pressure. You need to believe in yourself, and I didn't.""

And after losing the first set 6-1 to Lleyton Hewitt in Sunday's final, Safin said he began to doubt himself again. ""I am 25. I'm playing against Hewitt. At least you have to have the opportunity to win it, at least have a chance,"" he said. ""It's like you go there and you lose first set 6-1, then you start to think: 'This is not my day. The way I'm playing is ridiculous.' ""But then you start to really be a little bit more selfish and try to find a way out of there. ""And I found it. I was like really much I was much happier than in 2000, that's for sure, because I get over it.""",sport
"The number of personal computers worldwide is expected to double by 2010 to 1.3 billion machines, according to a report by analysts Forrester Research.

The growth will be driven by emerging markets such as China, Russia and India, the report predicted. More than a third of all new PCs will be in these markets, with China adding 178 million new PCs by 2010, it said. Low-priced computers made by local companies are expected to dominate in such territories, Forrester said. The report comes less than a week after IBM, a pioneer of the PC business, sold its PC hardware division to China's number one computer maker Lenovo.

The $1.75bn (£900m) deal will make the combined operation the third biggest PC vendor in the world. ""Today's products from Western PC vendors won't dominate in those markets in the long term,"" Simon Yates, a senior analyst for Forrester, said. ""Instead local PC makers like Lenovo Group in China and Aquarius in Russia that can better tailor the PC form factor, price point and applications to their local markets will ultimately win the market share battle,"" he said. There are currently 575 million PCs in use globally. The United States, Europe and Asia-Pacific are expected to add 150 million new PCs by 2010, according to the study. The report forecast that there will be 80 million new PC users in India by 2010 and 40 million new users in Indonesia.",tech
"Actress Anna Keaveney, who appeared in Brookside, My Family and A Touch of Frost, has died of lung cancer aged 55.

Keaveney, who played Brookside's Marie Jackson when the Channel 4 soap began in 1982, died on Saturday. Born in Runcorn, Cheshire, she also starred in numerous films including 1989's Shirley Valentine. She played Nellie in Mike Leigh's latest film Vera Drake, which won the Golden Lion prize for best film at this year's Venice Film Festival.

And most recently she appeared alongside Richard Wilson in ITV's King of Fridges and with Martin Clunes in Doc Martin. Other TV appearances included the part of Matron in ITV drama Footballers' Wives and a cameo role as Tom Farrell's mother Sheila in BBC comedy Gimme Gimme Gimme. Keaveney's career also included stage performances in Neaptide for the National Theatre, Private Lives and The Rise and Fall of Little Voice. The actress died in hospital. Her agent Barry Brown said: ""Anna was due to have had another operation on Friday but unfortunately she was too weak.""",entertainment
"Italy skipper Marco Bortolami believes Saturday's Six Nations contest against Scotland will be a scrappy encounter.

With both sides looking for their first win of the championship, the third-round game at Murrayfield has been billed as a wooden-spoon decider. And Bortolami feels the Edinburgh contest could end up being a bruising battle of the packs. ""It will not be a pretty game because both teams are desperate to gain their first win,"" said the lock forward. Italy have only recorded three wins since they joined the Six Nations in 2000, but two of those have come against Scotland. This year, Italy opened up with a stubborn display against Ireland but ended up losing 28-17.

However, they were thoroughly outplayed by an impressive Welsh side in Rome last time out. Now the Italians travel to Edinburgh hoping to claim their first away win in the Six Nations. ""Scotland played extremely well against France in Paris but not so well when Ireland came to Edinburgh,"" said Bortolami. ""We are still very disappointed with our last game against Wales in Rome and we are thoroughly determined to right the wrongs. ""As a nation, our quest is to be respected as a team worthy of a place in this tournament and we can only do this by winning games.""",sport
"World and Commonwealth 100m champion Kim Collins will compete in the 60m at the Norwich Union Grand Prix in Birmingham on 18 February.

The St Kitts and Nevis star joins British Olympic relay gold medallists Jason Gardener and Mark Lewis-Francis. Sydney Olympic 100m champion and world indoor record holder Maurice Greene and Athens Olympic 100m silver medallist Francis Obikwelu will also take part. Collins ran in Birmingham at the 2003 World Indoor Championships. ""I'm looking forward to competing against such a strong field,"" he said. ""I got a great reception form the crowd at the NIA when I won my 60m world indoor silver medal in 2003 and it will be really exciting to return to this venue."" The world champion says he's in good shape but he isn't underestimating the home competition. ""Jason Gardener and Mark Lewis-Francis are Olympic gold medallists now and I'm sure they'll be aiming to win in front of their home supporters. ""I'm looking forward to competing against Britain's best sprinters and I'm sure the 60 metres will be one of the most exciting races of the evening."" Collins was sixth in the Olympic final in Athens but is hoping for a better result at the World Championships in Finland this summer. ""This will be a big year for me and I plan to defend my 100m world title in Helsinki in August. Before then I want to perform well over 60m indoors and start my year in winning form.""",sport
"Dundee United manager Ian McCall has won a reprieve from the sack, with chairman Eddie Thompson calling for an end to speculation over his future.

It is understood that McCall would have been sacked if Sheffield Wednesday manager Paul Sturrock had been willing to return to Tannadice. But Sturrock has distanced himself from the position. ""We're in a difficult situation. We must get out of it through the efforts of current personnel,"" said Thompson. ""Ian McCall and I have had a long and detailed talk about a number of areas including the current league position and the manner of the exit from the League Cup,"" he added. ""However, the continuing speculation is doing no one any good, especially as we have several crucial games coming up. ""The minds of the coaching staff and the players have to be on those games and those games only. ""Our season would of course improve considerably if in the next few weeks we achieved some improved league results and there is also the potential of another cup semi-final, subject to the draw.

""All that matters at the present time - is us all having a total focus on the games ahead and a positive series of results being achieved."" Dundee United players had expressed their solidarity with McCall after their side's 3-0 Scottish Cup win over Queen of the South. ""We want the boss to stay, we don't want someone else coming in,"" said Jim McIntyre. ""Hopefully now he gets the chance to stay."" Keeper Tony Bullock echoed McIntyre's sentiments. ""I think all the boys are behind Ian McCall,"" he added. ""At the moment it is all speculation and we have got to rise above all that and do a job on the pitch.""

On Saturday, Sturrock insisted that he had unfinished business with Wednesday, who are fourth in League One. ""I've only been here five months and I don't expect to be leaving very, very soon,"" he said. ""I can appreciate the rumours because I've emphasised my thoughts and ambitions to go back to Dundee United. ""I can assure you the timescale is not the right one. ""It (Dundee United) is my team. I had five years there as a coach, six as a player, two years as a manager - once you've done that kind of thing, it's the result you look for. ""The important thing now is I've come here to do a job and I'm going to try to finish it.""",sport
"Last Saturday, one newspaper proclaimed that England were still the number one side in the world.

That statement was made to look a little foolish by events later that afternoon at Twickenham. But it illustrated the wonderful unpredictability of Test rugby at the highest level, at the end of a richly entertaining autumn series. The final weekend threw the world pecking order into renewed confusion, with Australia's triumph in London followed by France's capitulation to New Zealand. ""Clearly, there is no number one side in the world at the moment,"" declared Wallabies coach Eddie Jones on arrival back in Sydney. ""There are four, five or probably six sides all competing at the same level and on any given day the difference between one side and another is only about 1%.""

While that bodes well for rugby as a whole, it also sharpens the sense of excitement ahead of what could be the most open Six Nations Championship for a decade. While the Wallabies, All Blacks and Springboks hit the beach before turning their attention to Super 12 matters in the new year, Europe's finest have less than 10 weeks before they return to the international fray. And for the first time in more than a decade, it will not simply be a straightforward choice between England and France for the Six Nations title.

That owes much to Ireland's continued progress and the belief that Wales are on the verge of delivering a major scalp to cement the promise of their autumn displays.

, who secured a first Triple Crown in 19 years last season, could go one better and win their first Five/Six Nations title since 1985. They start with away games against Italy and Scotland, before England and France come to Lansdowne Road.

Their momentous victory over the Springboks can only bolster Ireland's self-belief, while Ronan O'Gara's late drop goal to deliver victory over Argentina was further proof that Eddie O'Sullivan's side can now close out tight games. Not that England or France, who have won nine of the last 10 Six Nations titles between them, will lay down quietly.

dismantling of the Springboks suggested that even after the loss of such influential figures as Martin Johnson and Lawrence Dallaglio, they still have the personnel to prosper.

The narrow defeat to Australia was a timely reminder that not everything is blooming in the red rose garden, but the fresh shoots of post-World Cup recovery have been sown by new head coach Andy Robinson. A fresh desire to regain former heights is evident, and if England emerge triumphant from an opening Six Nations engagement in Cardiff, a fourth title in six years is within reach.

are in familiar revival territory, but this time it appears there is substance behind the rediscovered style.

While South Africa's over-confidence in Cardiff made for a closer scoreline than expected, Wales could legitimately claim to have had victory within their grasp against the All Blacks in one of the best Tests in recent memory. If Mike Ruddock can coax a reliable set-piece platform from his pack, there is no reason why victories should not ensue come February. The last fortnight has left

in a state of bewilderment after an autumn series that began with a superb victory over Australia. A stunning defeat to Argentina, their first loss since the World Cup, could have been attributed to trademark French inconsistency.

But the manner of New Zealand's 45-6 demolition job in Paris has coach Bernard Laporte bemoaning a lack of young talent coming through to replace the old guard. Fortunately for the French, the opening match of the Six Nations sees them entertaining

in Paris. After two reasonable performances against Australia, the Scots' humbling by the Springboks forced coach Matt Williams to reassess his belief that a win over one of the major nations was imminent. While individuals such as Chris Cusiter and Ali Hogg enhanced their reputations, a lack of top-class players will continue to undermine their best efforts.

, who start with home games against Ireland and Wales before travelling to Scotland, are also hopeful of registering more than one victory for the first time in the Championship. As autumn gives way to winter and the Heineken Cup prepares to resume centre stage meantime, the joy of Six will keep the home fires burning until February.",sport
"Gordon Brown has issued a rallying cry, telling supporters the ""stakes are too high"" to stay at home or protest vote in the forthcoming general election.

The chancellor said the vote - expected to fall on 5 May - will give a ""clear and fundamental"" choice between Labour investment and Conservative cuts. Speaking at Labour's spring conference in Gateshead, Mr Brown claimed the NHS was not safe in Conservative hands. He said Tory plans to cut £35bn tax would ""cut deep into public service"".

To a packed audience at Gateshead's Sage Centre, the chancellor said the cuts proposed by shadow chancellor Oliver Letwin were the equivalent of sacking every teacher, GP and nurse in the country, he told activists. Laying into the Conservative's record in government he said: ""I give you this promise - with Labour, Britain will never return to the mistakes of ERM and 10% inflation, 15% interest rates, £3bn in lost reserves, 250,000 repossessed, one million in negative equity and three million unemployed. ""Never again Tory boom and bust.

""This will be the central dividing line at the election, between a Conservative Party taking Britain back and planning deep cuts of £35bn in our services, and a Labour government taking Britain forward, which on a platform of stability will reform and renew our hospitals, schools and public services and, I am proud to say, spend by 2008 £60bn more."" Turning to the economy, the chancellor pledged to continue economic stability and growth in a third term in power.

He said after seven years Labour had transformed from a party not trusted with the economy to ""the only party trusted with the economy"". It was now a ""party not just of employees, but of employers and managers"", he said. In the speech - which prompted a standing ovation from an audience clearly ""warm"" to Mr Brown - he also promised to end teenage unemployment within the next five years. He also highlighted plans for 100% debt relief for the world's poorest countries, a national minimum wage for 16 and 17-year-olds and the creation of a network of children's centres and flexibility in maternity leave. The prime minister is to take part later on Saturday in an interactive question and answer session, fielding queries sent in by e-mail, text message and telephone as part of Labour's attempt to engage the public in their campaign.",politics
"Firms that flout rules on how ringtones and other mobile extras are sold could be cut off from all UK phone networks.

The rules allow offenders to be cut off if they do not let consumers know exactly what they get for their money and how to turn off the services. The first month under the new rules has seen at least ten firms suspended while they clean up the way they work. The rules have been brought in to ensure that the problems plaguing net users do not spread to mobile phones.

In the last couple of years ringtones, wallpapers, screensavers and lots of other extras for phones have become hugely popular. But fierce competition is making it difficult for firms to get their wares in front of consumers, said Jeremy Flynn, head of third party services at Vodafone.

""If you are not on the operator's portal you are going to have quite heavy marketing costs because it's a problem of how people discover your services,"" he said. To combat this many ringtone and other mobile content sellers started using a new tactic to squeeze more cash out of customers. This tactic involved signing people up for a subscription to give them, for instance, several ringtones per week or month instead of the single track they thought they were getting. Mr Flynn said that the move to using subscriptions happened over the space of a few weeks at the end of 2004. Websites such as grumbletext.co.uk started getting reports from customers who were racking up large bills for phone content they did not know they had signed up for. ""What made us uncomfortable was that these services were not being marketed transparently,"" said Mr Flynn. ""People did not know they were being offered a subscription service."" ""We saw potential for substantial consumer harm here,"" he added.

The swift adoption of subscription services led to the creation of a new code of conduct for firms that want to sell content for mobile phones. The drafting of the new rules was led by the Mobile Entertainment Forum and the UK's phone firms. ""Everyone is required to conform to this code of conduct,"" said Andrew Bud, regulatory head of the MEF and executive chairman of messaging firm MBlox.

""It's all about transparency,"" he said. ""Consumers have to be told what they have got themselves into and how to get out of it."" ""The consumer has a right to be protected,"" he said. Christian Harris, partnership manager of mobile content firm Zed, said the new system was essential if consumers were to trust companies that sell ringtones and other downloads. ""The groundrules must be applied across the whole industry and if that's done effectively we will see the cowboys driven out,"" he said. The new rules came in to force on 15 January and the first month under the new regime has seen many firms cautioned for not honouring them. Some have been told to revamp websites so customers know what they get for their money and what they are signing up for, said Mr Flynn. Also, said Mr Flynn, Vodafone has briefly cut off between eight and ten content sellers flouting the rules. ""We have quite draconian contracts with firms,"" he said. ""We do not have to say why. We can just cut them off."" Under the rules consumers must be able to switch off the services by using a universal ""stop"" command sent via text message. He said the system had been designed to limit how much a consumer will pay if they inadvertently signed up for a service. ""The mobile is so personal that people really resent the abuse of what is effectively part of their personality,"" said Mr Flynn.",tech
"The US Federal Bureau of Investigation is warning that a computer virus is being spread via e-mails that purport to be from the FBI.

The e-mails show that they have come from an fbi.gov address and tell recipients that they have accessed illegal websites. The messages warn that their internet use has been monitored by the FBI's Internet Fraud Complaint Center. An attachment in the e-mail contains the virus, the FBI said. The message asks recipients to click on the attachment and answer some questions about their internet use. But rather than being a questionnaire, the attachment contains a virus that infects the recipient's computer, according to the agency. It is not clear what the virus does once it has infected a computer. Users are warned never to open attachment from unsolicited e-mails or from people they do not know.

""Recipients of this or similar solicitations should know that the FBI does not engage in the practice of sending unsolicited e-mails to the public in this manner,"" the FBI said in a statement. The bureau is investigating the phoney e-mails. The agency earlier this month shut down fbi.gov accounts, used to communicate with the public, because of a security breach. A spokeswoman said the two incidents appear to be unrelated.",tech
